                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0716,                 2.8604,                 1.5223,                0.00327,                0.73871,                0.30268,                0.14312,                 1.5526,                 3.8738,                 2.0731,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.0976,                 2.2578,                 1.5538,                0.81322,                0.24677,                0.45257,                0.22479,                 1.5155,                 3.4741,                 2.1436,             0.00044786,             0.00044786,             0.00044786
                      3,                 1.1511,                 2.0625,                 1.5367,                0.68168,                0.49355,                0.52416,                 0.2827,                 1.4705,                 2.9969,                 2.0508,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.1957,                 1.9472,                 1.5864,                0.52954,                0.44703,                0.42532,                0.22299,                 1.7417,                 3.0217,                 2.3248,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.1171,                 1.8927,                 1.5208,                0.51911,                0.53419,                0.54332,                0.28797,                 1.5647,                 2.7251,                 2.1009,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.1018,                 1.7585,                  1.531,                0.70652,                0.38163,                0.50547,                0.27476,                 1.6398,                 2.7329,                  2.259,              0.0013494,              0.0013494,              0.0013494
                      7,                 1.1497,                 1.7143,                 1.5406,                0.51763,                0.38129,                0.39977,                0.20234,                 1.7608,                 2.9634,                 2.4112,               0.001569,               0.001569,               0.001569
                      8,                 1.1274,                 1.7026,                 1.5151,                0.52403,                0.37276,                0.40517,                0.23789,                 1.7579,                  3.259,                 2.4373,              0.0016092,              0.0016092,              0.0016092
                      9,                  1.168,                 1.6504,                 1.5486,                0.47435,                0.38566,                0.36491,                0.19104,                 1.9859,                 3.4598,                 2.7892,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.1621,                 1.5814,                 1.5521,                0.29685,                0.30065,                0.26331,                0.15036,                 1.8881,                 7.6862,                 2.5749,               0.001601,               0.001601,               0.001601
                     11,                 1.1391,                 1.5189,                 1.5155,                 0.4196,                0.38903,                 0.3856,                0.19079,                 1.7703,                 3.5088,                  2.503,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.1382,                 1.4794,                 1.5331,                0.64021,                0.38165,                 0.3666,                0.18846,                  1.582,                 3.3621,                 2.1557,              0.0015845,              0.0015845,              0.0015845
                     13,                 1.1188,                 1.4256,                 1.5123,                0.46041,                0.36932,                 0.3706,                   0.22,                 1.6378,                 3.3161,                 2.0812,              0.0015762,              0.0015762,              0.0015762
